tSNE1,tSNE2,data,predicted
-9.99007,56.41828,CITE-seq,Effector CD4+ T
44.100906,-7.661677,CITE-seq,NK
-27.430168,45.212673,CITE-seq,Effector CD4+ T
10.52942,48.673313,CITE-seq,Effector CD4+ T
-11.197286,-54.08104,CITE-seq,Naive CD8+ T
16.78441,56.735947,CITE-seq,Effector CD4+ T
-30.656311,-0.12385272,CITE-seq,Naive CD4+ T
-34.14593,0.4453349,CITE-seq,Naive CD4+ T
-5.906582,60.99563,CITE-seq,Effector CD4+ T
-1.1788347,54.403572,CITE-seq,Effector CD4+ T
10.692819,46.087025,CITE-seq,Effector CD4+ T
4.09162,51.12643,CITE-seq,Effector CD4+ T
-31.99487,2.4936645,CITE-seq,Naive CD4+ T
-62.544193,7.775286,CITE-seq,Naive CD4+ T
-11.985157,43.199467,CITE-seq,Effector CD4+ T
-13.5990715,44.49854,CITE-seq,Effector CD4+ T
-22.189526,50.43379,CITE-seq,Effector CD4+ T
-34.465492,46.36753,CITE-seq,Effector CD4+ T
-4.4324718,56.113262,CITE-seq,Effector CD4+ T
55.203606,-8.585818,CITE-seq,NK
-27.953485,-8.8384,CITE-seq,Naive CD4+ T
15.054823,43.696144,CITE-seq,Effector CD4+ T
38.114296,26.125174,CITE-seq,Effector CD8+ T
17.339258,29.742382,CITE-seq,Effector CD4+ T
-3.4392529,52.44619,CITE-seq,Effector CD4+ T
-33.63791,15.264458,CITE-seq,Naive CD4+ T
-36.03799,6.118374,CITE-seq,Naive CD4+ T
61.187386,-12.979735,CITE-seq,NK
-2.2303596,50.40031,CITE-seq,Effector CD4+ T
-33.884098,-9.560291,CITE-seq,Naive CD4+ T
47.642548,25.7968,CITE-seq,Effector CD8+ T
-31.328604,-3.8739755,CITE-seq,Naive CD4+ T
0.68271494,40.596764,CITE-seq,Effector CD4+ T
-5.6660566,3.610279,CITE-seq,Monocytes
-57.573868,10.725284,CITE-seq,Naive CD4+ T
32.299908,-35.35799,CITE-seq,B
1.4701632,-1.0248786,CITE-seq,Monocytes
-49.00356,-20.78382,CITE-seq,Naive CD4+ T
3.0690656,-53.1733,CITE-seq,Naive CD8+ T
-32.158123,46.098804,CITE-seq,Effector CD4+ T
-34.242043,0.78495073,CITE-seq,Naive CD4+ T
2.597989,38.997337,CITE-seq,Effector CD4+ T
-46.904613,-6.4720716,CITE-seq,Naive CD4+ T
53.83015,-2.172901,CITE-seq,NK
-33.6833,-8.094069,CITE-seq,Naive CD4+ T
61.877094,-22.369865,CITE-seq,NK
35.194122,-43.10449,CITE-seq,B
62.14065,3.3010874,CITE-seq,NK
14.712049,57.63772,CITE-seq,Effector CD4+ T
-28.56151,44.258064,CITE-seq,Effector CD4+ T
9.687695,47.40867,CITE-seq,Effector CD4+ T
6.5165925,50.291557,CITE-seq,Effector CD4+ T
-14.165239,56.765312,CITE-seq,Effector CD4+ T
62.774185,0.18994513,CITE-seq,NK
-9.35309,55.892883,CITE-seq,Effector CD4+ T
-45.641167,-7.885933,CITE-seq,Naive CD4+ T
29.836924,26.12247,CITE-seq,Effector CD8+ T
-6.7454023,40.24707,CITE-seq,Effector CD4+ T
-9.256897,-48.668808,CITE-seq,Naive CD8+ T
55.821808,8.404874,CITE-seq,NK
-28.548468,1.193275,CITE-seq,Naive CD4+ T
-43.76404,9.537407,CITE-seq,Naive CD4+ T
-4.0747175,3.0691345,CITE-seq,Monocytes
-43.628777,13.492001,CITE-seq,Naive CD4+ T
61.11163,-19.59152,CITE-seq,NK
-35.26945,-22.738419,CITE-seq,Naive CD4+ T
-37.312675,-22.369524,CITE-seq,Naive CD4+ T
-5.8472877,-40.801476,CITE-seq,Naive CD8+ T
26.95262,-31.573626,CITE-seq,B
-58.37419,4.645576,CITE-seq,Naive CD4+ T
-59.259064,0.46835515,CITE-seq,Naive CD4+ T
31.679798,26.045162,CITE-seq,Effector CD8+ T
27.109047,-49.864964,CITE-seq,B
-27.646494,48.296597,CITE-seq,Effector CD4+ T
0.66070664,61.739037,CITE-seq,Effector CD4+ T
22.997063,-44.397076,CITE-seq,B
-44.378677,2.7352054,CITE-seq,Naive CD4+ T
45.8454,-11.648389,CITE-seq,NK
-39.876575,-27.250727,CITE-seq,Naive CD4+ T
0.17462337,-47.712864,CITE-seq,Naive CD8+ T
-32.290703,44.79579,CITE-seq,Effector CD4+ T
-12.161117,46.50521,CITE-seq,Effector CD4+ T
24.311323,-36.77059,CITE-seq,B
-29.874067,50.478306,CITE-seq,Effector CD4+ T
62.637463,3.6498199,CITE-seq,NK
59.960827,-12.010653,CITE-seq,NK
-51.63317,-16.165985,CITE-seq,Naive CD4+ T
-34.56455,3.5195491,CITE-seq,Naive CD4+ T
-27.151075,45.992535,CITE-seq,Effector CD4+ T
39.835217,25.66218,CITE-seq,Effector CD8+ T
-54.054123,9.230031,CITE-seq,Naive CD4+ T
-29.590548,11.922734,CITE-seq,Naive CD4+ T
52.018635,29.85223,CITE-seq,Effector CD8+ T
-4.332831,-62.960457,CITE-seq,Naive CD8+ T
-43.568764,14.457357,CITE-seq,Naive CD4+ T
-25.381756,-23.942554,CITE-seq,Naive CD4+ T
2.3026876,40.477566,CITE-seq,Effector CD4+ T
-20.551008,48.086464,CITE-seq,Effector CD4+ T
49.457184,48.05635,CITE-seq,Effector CD8+ T
-40.66693,-26.700872,CITE-seq,Naive CD4+ T
16.566574,54.812958,CITE-seq,Effector CD4+ T
-12.633256,49.898243,CITE-seq,Effector CD4+ T
-30.40775,46.33351,CITE-seq,Effector CD4+ T
-53.89567,-18.664907,CITE-seq,Naive CD4+ T
-47.410995,15.307764,CITE-seq,Naive CD4+ T
-55.02317,14.200138,CITE-seq,Naive CD4+ T
59.210102,-0.85113865,CITE-seq,NK
-45.518814,-0.16944365,CITE-seq,Naive CD4+ T
-5.962387,3.5271428,CITE-seq,Monocytes
12.587336,58.048527,CITE-seq,Effector CD4+ T
-23.78288,-20.39937,CITE-seq,Naive CD4+ T
36.763157,17.694233,CITE-seq,Effector CD8+ T
-46.005203,21.158697,CITE-seq,Naive CD4+ T
-1.6105759,56.149277,CITE-seq,Effector CD4+ T
-19.813885,-4.7288203,CITE-seq,Naive CD4+ T
1.9754406,-43.75479,CITE-seq,Naive CD8+ T
-48.510975,-24.46032,CITE-seq,Naive CD4+ T
-15.428034,-69.40734,CITE-seq,Naive CD8+ T
-25.528996,51.732204,CITE-seq,Effector CD4+ T
-6.050938,-62.784035,CITE-seq,Naive CD8+ T
-47.08438,16.504541,CITE-seq,Naive CD4+ T
3.6251712,-48.813633,CITE-seq,Naive CD8+ T
49.65664,-1.7945735,CITE-seq,NK
-32.11877,45.48834,CITE-seq,Effector CD4+ T
-31.381807,43.40261,CITE-seq,Effector CD4+ T
-31.371801,-2.7792053,CITE-seq,Naive CD4+ T
-59.518124,6.905764,CITE-seq,Naive CD4+ T
-2.428808,60.841583,CITE-seq,Effector CD4+ T
-10.077997,36.873672,CITE-seq,Effector CD4+ T
56.452515,0.56962013,CITE-seq,NK
-16.92893,57.258957,CITE-seq,Effector CD4+ T
-23.971275,1.1586047,CITE-seq,Naive CD4+ T
27.527853,-30.835413,CITE-seq,B
49.38511,30.500824,CITE-seq,Effector CD8+ T
-5.4842525,-59.362396,CITE-seq,Naive CD8+ T
-37.884148,9.79456,CITE-seq,Naive CD4+ T
-5.864139,-64.53466,CITE-seq,Naive CD8+ T
-1.1004573,55.418507,CITE-seq,Effector CD4+ T
16.921753,30.365763,CITE-seq,Effector CD4+ T
-31.49127,-1.2160605,CITE-seq,Naive CD4+ T
26.119665,-29.932854,CITE-seq,B
-55.04939,-5.562587,CITE-seq,Naive CD4+ T
-50.251663,-19.861038,CITE-seq,Naive CD4+ T
-25.931585,-23.436037,CITE-seq,Naive CD4+ T
30.140999,21.87641,CITE-seq,Effector CD8+ T
-34.536392,14.243241,CITE-seq,Naive CD4+ T
26.45469,-42.41157,CITE-seq,B
-5.997832,-40.409813,CITE-seq,Naive CD8+ T
-8.3920965,-45.88156,CITE-seq,Naive CD8+ T
-47.997547,-0.098913535,CITE-seq,Naive CD4+ T
-31.024805,43.82486,CITE-seq,Effector CD4+ T
1.8828347,40.927845,CITE-seq,Effector CD4+ T
14.627832,54.649723,CITE-seq,Effector CD4+ T
41.413837,-17.711449,CITE-seq,NK
26.071539,-49.25882,CITE-seq,B
2.5848408,-55.583668,CITE-seq,Naive CD8+ T
-9.418721,-66.88257,CITE-seq,Naive CD8+ T
-1.0360359,-55.82677,CITE-seq,Naive CD8+ T
-10.181856,44.160664,CITE-seq,Effector CD4+ T
-22.145275,50.689274,CITE-seq,Effector CD4+ T
24.220245,-43.962414,CITE-seq,B
-8.5411005,45.08459,CITE-seq,Effector CD4+ T
50.883854,48.469578,CITE-seq,Effector CD8+ T
-6.1413407,62.42233,CITE-seq,Effector CD4+ T
17.608181,50.066467,CITE-seq,Effector CD4+ T
54.957672,1.3195884,CITE-seq,NK
5.018689,-52.52282,CITE-seq,Naive CD8+ T
56.861717,29.261526,CITE-seq,Effector CD8+ T
0.35132438,-50.15035,CITE-seq,Naive CD8+ T
60.97588,-0.0768243,CITE-seq,NK
25.538115,-44.48974,CITE-seq,B
-42.62869,-24.681204,CITE-seq,Naive CD4+ T
-51.18378,-12.628462,CITE-seq,Naive CD4+ T
-22.408361,-20.532803,CITE-seq,Naive CD4+ T
53.002438,-1.4369684,CITE-seq,NK
18.442665,-35.581318,CITE-seq,B
-3.1484776,37.63456,CITE-seq,Effector CD4+ T
53.711548,30.374859,CITE-seq,Effector CD8+ T
32.779198,21.640722,CITE-seq,Effector CD8+ T
-13.274187,49.135983,CITE-seq,Effector CD4+ T
-4.8650775,-48.287075,CITE-seq,Naive CD8+ T
-38.85454,13.948697,CITE-seq,Naive CD4+ T
57.840004,-4.5075436,CITE-seq,NK
43.94505,33.90106,CITE-seq,Effector CD8+ T
-40.088993,17.921057,CITE-seq,Naive CD4+ T
-11.203144,-54.348022,CITE-seq,Naive CD8+ T
0.29130986,-49.843594,CITE-seq,Naive CD8+ T
35.782288,-45.467663,CITE-seq,B
51.145386,48.488087,CITE-seq,Effector CD8+ T
-35.758247,8.88921,CITE-seq,Naive CD4+ T
-40.96025,-26.35609,CITE-seq,Naive CD4+ T
-7.473538,43.00523,CITE-seq,Effector CD4+ T
-29.329412,43.70912,CITE-seq,Effector CD4+ T
47.89847,25.53897,CITE-seq,Effector CD8+ T
51.38236,26.897938,CITE-seq,Effector CD8+ T
2.8837042,-53.988564,CITE-seq,Naive CD8+ T
-8.695623,41.94775,CITE-seq,Effector CD4+ T
-32.402622,45.047874,CITE-seq,Effector CD4+ T
-31.338266,5.0389843,CITE-seq,Naive CD4+ T
57.759907,32.080585,CITE-seq,Effector CD8+ T
-6.9798913,59.919025,CITE-seq,Effector CD4+ T
9.383461,47.91677,CITE-seq,Effector CD4+ T
-30.731749,-20.347372,CITE-seq,Naive CD4+ T
-54.68065,-5.770026,CITE-seq,Naive CD4+ T
45.85186,29.89753,CITE-seq,Effector CD8+ T
-31.57184,-19.994253,CITE-seq,Naive CD4+ T
42.68411,30.685406,CITE-seq,Effector CD8+ T
0.57040364,39.414707,CITE-seq,Effector CD4+ T
62.503677,-22.230604,CITE-seq,NK
8.886879,11.595433,CITE-seq,Monocytes
33.23397,30.538185,CITE-seq,Effector CD8+ T
-58.58071,8.0647135,CITE-seq,Naive CD4+ T
-19.207527,42.53638,CITE-seq,Effector CD4+ T
-16.498547,51.341415,CITE-seq,Effector CD4+ T
-13.417374,52.787746,CITE-seq,Effector CD4+ T
-55.474995,-9.907174,CITE-seq,Naive CD4+ T
-12.128187,-67.59627,CITE-seq,Naive CD8+ T
58.934963,-23.043682,CITE-seq,NK
-37.45557,3.5529597,CITE-seq,Naive CD4+ T
-30.637579,-17.338305,CITE-seq,Naive CD4+ T
26.07538,-46.839794,CITE-seq,B
63.584843,-0.8077941,CITE-seq,NK
-49.206654,-18.860329,CITE-seq,Naive CD4+ T
-31.001673,2.8644087,CITE-seq,Naive CD4+ T
-5.878783,-61.465668,CITE-seq,Naive CD8+ T
-9.731014,-54.628094,CITE-seq,Naive CD8+ T
19.224823,-36.27277,CITE-seq,B
17.962215,-28.692137,CITE-seq,B
11.87948,55.05634,CITE-seq,Effector CD4+ T
-7.621514,-55.299942,CITE-seq,Naive CD8+ T
53.570015,-12.078306,CITE-seq,NK
-49.39701,18.87041,CITE-seq,Naive CD4+ T
-15.693071,52.58676,CITE-seq,Effector CD4+ T
49.475685,-3.093989,CITE-seq,NK
-26.479864,51.157772,CITE-seq,Effector CD4+ T
21.181925,-30.677643,CITE-seq,B
-50.216858,-6.982808,CITE-seq,Naive CD4+ T
-27.951906,1.3753245,CITE-seq,Naive CD4+ T
4.4234304,-50.84716,CITE-seq,Naive CD8+ T
-24.355629,-10.102437,CITE-seq,Naive CD4+ T
22.618574,30.9229,CITE-seq,Effector CD4+ T
-58.142994,-13.421841,CITE-seq,Naive CD4+ T
-8.533344,46.785534,CITE-seq,Effector CD4+ T
45.49714,-11.750946,CITE-seq,NK
64.13103,-20.604837,CITE-seq,NK
-23.227283,49.81725,CITE-seq,Effector CD4+ T
14.396353,34.266808,CITE-seq,Effector CD4+ T
49.793636,49.26904,CITE-seq,Effector CD8+ T
-43.22975,1.5789837,CITE-seq,Naive CD4+ T
58.667595,-3.5531766,CITE-seq,NK
52.345074,-24.932632,CITE-seq,NK
-15.532367,-58.388866,CITE-seq,Naive CD8+ T
15.740958,58.132244,CITE-seq,Effector CD4+ T
61.396786,7.5960054,CITE-seq,NK
-36.24027,6.8447294,CITE-seq,Naive CD4+ T
36.64445,23.064142,CITE-seq,Effector CD8+ T
-13.488119,41.65022,CITE-seq,Effector CD4+ T
41.467022,-15.786859,CITE-seq,NK
3.5629108,-58.855747,CITE-seq,Naive CD8+ T
54.600777,5.2145042,CITE-seq,NK
-54.658287,19.533493,CITE-seq,Naive CD4+ T
20.065552,5.8350263,CITE-seq,Monocytes
15.880758,32.567265,CITE-seq,Effector CD4+ T
53.203808,32.88367,CITE-seq,Effector CD8+ T
-26.520906,-21.30948,CITE-seq,Naive CD4+ T
-8.618918,-68.87093,CITE-seq,Naive CD8+ T
12.676368,54.55732,CITE-seq,Effector CD4+ T
-54.322525,-15.098029,CITE-seq,Naive CD4+ T
1.6485096,43.20435,CITE-seq,Effector CD4+ T
-48.16155,11.694956,CITE-seq,Naive CD4+ T
-22.508469,-17.554106,CITE-seq,Naive CD4+ T
-26.771439,5.2684555,CITE-seq,Naive CD4+ T
48.219074,48.488056,CITE-seq,Effector CD8+ T
58.32186,-18.411621,CITE-seq,NK
-2.5330222,-45.251038,CITE-seq,Naive CD8+ T
33.98549,27.53648,CITE-seq,Effector CD8+ T
2.6322563,8.042825,CITE-seq,Monocytes
-7.969171,-64.50164,CITE-seq,Naive CD8+ T
-44.197742,14.710327,CITE-seq,Naive CD4+ T
-11.024408,47.26729,CITE-seq,Effector CD4+ T
-24.759888,8.488606,CITE-seq,Naive CD4+ T
-9.647356,-65.80675,CITE-seq,Naive CD8+ T
-4.0749974,2.853986,CITE-seq,Monocytes
-30.613249,-20.99954,CITE-seq,Naive CD4+ T
-45.31809,-18.82038,CITE-seq,Naive CD4+ T
-5.619829,-57.863274,CITE-seq,Naive CD8+ T
-8.151523,-70.884026,CITE-seq,Naive CD8+ T
-28.35654,3.8402555,CITE-seq,Naive CD4+ T
-37.81838,6.299786,CITE-seq,Naive CD4+ T
-35.886925,2.7548819,CITE-seq,Naive CD4+ T
1.8557787,-48.12459,CITE-seq,Naive CD8+ T
-57.671566,18.71402,CITE-seq,Naive CD4+ T
5.338793,61.42815,CITE-seq,Effector CD4+ T
-35.864185,-25.431192,CITE-seq,Naive CD4+ T
51.8316,24.34998,CITE-seq,Effector CD8+ T
35.36492,-44.543957,CITE-seq,B
54.628273,38.751873,CITE-seq,Effector CD8+ T
5.4277797,46.424545,CITE-seq,Effector CD4+ T
53.506428,30.547384,CITE-seq,Effector CD8+ T
-7.4157634,39.656967,CITE-seq,Effector CD4+ T
50.71796,-25.439215,CITE-seq,NK
-9.018795,-68.32521,CITE-seq,Naive CD8+ T
15.988604,-33.396362,CITE-seq,B
46.68296,-3.391098,CITE-seq,NK
-4.436581,-63.76267,CITE-seq,Naive CD8+ T
61.89989,-7.627528,CITE-seq,NK
-26.559866,-7.7745614,CITE-seq,Naive CD4+ T
62.908173,-10.049925,CITE-seq,NK
-34.133682,46.685375,CITE-seq,Effector CD4+ T
-35.382538,10.948726,CITE-seq,Naive CD4+ T
8.297711,-4.513527,CITE-seq,Monocytes
56.563747,-3.8668852,CITE-seq,NK
0.19407769,57.604977,CITE-seq,Effector CD4+ T
56.26505,4.8571424,CITE-seq,NK
-36.77822,-24.782734,CITE-seq,Naive CD4+ T
0.7676383,-57.73083,CITE-seq,Naive CD8+ T
-38.85248,7.0266905,CITE-seq,Naive CD4+ T
-40.448746,15.255229,CITE-seq,Naive CD4+ T
28.184103,-28.842783,CITE-seq,B
-3.1795595,-63.048023,CITE-seq,Naive CD8+ T
-24.901264,-8.4097805,CITE-seq,Naive CD4+ T
-38.817806,-23.356226,CITE-seq,Naive CD4+ T
-59.922516,12.125764,CITE-seq,Naive CD4+ T
-4.5108204,-53.511497,CITE-seq,Naive CD8+ T
-27.59309,5.8446918,CITE-seq,Naive CD4+ T
31.188581,-36.003025,CITE-seq,B
-12.98127,-63.768555,CITE-seq,Naive CD8+ T
-4.471642,-50.614845,CITE-seq,Naive CD8+ T
-14.381939,56.462696,CITE-seq,Effector CD4+ T
-0.2626358,52.636143,CITE-seq,Effector CD4+ T
-5.9339657,-63.615883,CITE-seq,Naive CD8+ T
46.48063,-5.09078,CITE-seq,NK
-2.5964637,-42.080254,CITE-seq,Naive CD8+ T
8.861082,12.110006,CITE-seq,Monocytes
15.6043625,-2.183325,CITE-seq,Monocytes
-3.69148,-66.61512,CITE-seq,Naive CD8+ T
-36.33474,8.791505,CITE-seq,Naive CD4+ T
49.112293,-1.1946871,CITE-seq,NK
-14.951698,-57.838165,CITE-seq,Naive CD8+ T
-30.052973,-17.403517,CITE-seq,Naive CD4+ T
19.382408,-29.289019,CITE-seq,B
-40.15111,18.6741,CITE-seq,Naive CD4+ T
0.8764482,-66.53331,CITE-seq,Naive CD8+ T
-48.190872,11.326029,CITE-seq,Naive CD4+ T
47.49006,-8.439382,CITE-seq,NK
-21.699833,-4.758394,CITE-seq,Naive CD4+ T
-10.259808,-72.05156,CITE-seq,Naive CD8+ T
18.033756,52.63467,CITE-seq,Effector CD4+ T
-45.64567,7.436299,CITE-seq,Naive CD4+ T
-10.3864565,-51.645252,CITE-seq,Naive CD8+ T
25.854342,-37.080997,CITE-seq,B
-7.6345987,57.8789,CITE-seq,Effector CD4+ T
-2.4549909,39.478523,CITE-seq,Effector CD4+ T
18.02254,-30.625761,CITE-seq,B
-2.08908,-47.932465,CITE-seq,Naive CD8+ T
-10.888143,58.984512,CITE-seq,Effector CD4+ T
32.00489,24.812593,CITE-seq,Effector CD8+ T
-40.776165,14.283871,CITE-seq,Naive CD4+ T
-62.469444,7.1395493,CITE-seq,Naive CD4+ T
-6.5216002,40.220306,CITE-seq,Effector CD4+ T
-17.240349,-66.372185,CITE-seq,Naive CD8+ T
51.508163,48.89312,CITE-seq,Effector CD8+ T
58.834732,-0.4965171,CITE-seq,NK
-40.86917,12.727934,CITE-seq,Naive CD4+ T
-26.45512,53.15629,CITE-seq,Effector CD4+ T
25.1334,-45.03566,CITE-seq,B
15.54705,32.86287,CITE-seq,Effector CD4+ T
56.345985,6.1273537,CITE-seq,NK
54.543507,-1.9566473,CITE-seq,NK
-12.547259,-66.32981,CITE-seq,Naive CD8+ T
-12.526141,-58.78385,CITE-seq,Naive CD8+ T
-49.846123,7.9711704,CITE-seq,Naive CD4+ T
39.913914,25.715948,CITE-seq,Effector CD8+ T
1.0392479,-49.787647,CITE-seq,Naive CD8+ T
50.902103,-4.6692405,CITE-seq,NK
-50.087067,6.349623,CITE-seq,Naive CD4+ T
-55.13143,3.2674055,CITE-seq,Naive CD4+ T
17.897951,49.25818,CITE-seq,Effector CD4+ T
-10.959741,47.03567,CITE-seq,Effector CD4+ T
-47.73634,17.17952,CITE-seq,Naive CD4+ T
-32.97951,-16.956451,CITE-seq,Naive CD4+ T
-7.396505,-57.935436,CITE-seq,Naive CD8+ T
26.660574,-41.09408,CITE-seq,B
-33.410194,45.193275,CITE-seq,Effector CD4+ T
34.247257,28.34465,CITE-seq,Effector CD8+ T
34.09402,27.855686,CITE-seq,Effector CD8+ T
20.770844,-29.83421,CITE-seq,B
-7.7547994,-65.61791,CITE-seq,Naive CD8+ T
15.569477,30.524267,CITE-seq,Effector CD4+ T
19.245975,8.109014,CITE-seq,Monocytes
-38.78102,-16.338871,CITE-seq,Naive CD4+ T
-53.73492,20.748037,CITE-seq,Naive CD4+ T
-43.132618,12.380044,CITE-seq,Naive CD4+ T
-49.11045,-19.256765,CITE-seq,Naive CD4+ T
-23.385714,-22.109367,CITE-seq,Naive CD4+ T
-23.60823,-19.353874,CITE-seq,Naive CD4+ T
67.518524,-10.023265,CITE-seq,NK
-17.476097,42.919563,CITE-seq,Effector CD4+ T
-6.360587,-43.62847,CITE-seq,Naive CD8+ T
-24.271652,-11.932584,CITE-seq,Naive CD4+ T
-5.5094647,40.857647,CITE-seq,Effector CD4+ T
55.41831,2.5929549,CITE-seq,NK
14.351848,4.1289268,CITE-seq,Monocytes
-4.829186,2.4843254,CITE-seq,Monocytes
-3.3180408,-63.88575,CITE-seq,Naive CD8+ T
-51.13072,-22.486301,CITE-seq,Naive CD4+ T
-42.07432,-12.799246,CITE-seq,Naive CD4+ T
14.991284,33.270527,CITE-seq,Effector CD4+ T
-12.849017,-54.61111,CITE-seq,Naive CD8+ T
-11.943432,49.674965,CITE-seq,Effector CD4+ T
-59.3685,-11.718172,CITE-seq,Naive CD4+ T
-27.978802,-23.5316,CITE-seq,Naive CD4+ T
49.459866,32.27928,CITE-seq,Effector CD8+ T
-17.118826,54.543785,CITE-seq,Effector CD4+ T
47.2024,-10.604276,CITE-seq,NK
17.877058,49.18634,CITE-seq,Effector CD4+ T
-33.31915,8.6232195,CITE-seq,Naive CD4+ T
58.681667,2.3943481,CITE-seq,NK
-8.563458,-53.402214,CITE-seq,Naive CD8+ T
45.12224,29.492802,CITE-seq,Effector CD8+ T
-29.078655,-25.153217,CITE-seq,Naive CD4+ T
-30.745934,6.2568,CITE-seq,Naive CD4+ T
58.881294,2.3657243,CITE-seq,NK
30.4996,26.04013,CITE-seq,Effector CD8+ T
46.475266,28.854357,CITE-seq,Effector CD8+ T
11.332019,49.95782,CITE-seq,Effector CD4+ T
-8.180368,-44.105705,CITE-seq,Naive CD8+ T
9.306268,5.4607754,CITE-seq,Monocytes
11.012696,50.10802,CITE-seq,Effector CD4+ T
-1.690015,51.017082,CITE-seq,Effector CD4+ T
8.651655,63.523468,CITE-seq,Effector CD4+ T
-41.985504,5.9995427,CITE-seq,Naive CD4+ T
42.828533,30.643072,CITE-seq,Effector CD8+ T
-20.578575,-3.8197813,CITE-seq,Naive CD4+ T
-30.249609,-19.244087,CITE-seq,Naive CD4+ T
57.037197,34.352364,CITE-seq,Effector CD8+ T
-52.94546,-12.280259,CITE-seq,Naive CD4+ T
48.91452,-20.228212,CITE-seq,NK
-34.26281,-11.918783,CITE-seq,Naive CD4+ T
-37.783417,-24.93681,CITE-seq,Naive CD4+ T
-7.266472,39.4121,CITE-seq,Effector CD4+ T
29.133905,-40.726665,CITE-seq,B
-9.532403,-62.55931,CITE-seq,Naive CD8+ T
-21.158241,-69.19969,CITE-seq,Naive CD8+ T
49.103245,26.628452,CITE-seq,Effector CD8+ T
59.63681,-18.135,CITE-seq,NK
9.843177,54.876606,CITE-seq,Effector CD4+ T
-58.46459,13.976694,CITE-seq,Naive CD4+ T
10.086953,62.573364,CITE-seq,Effector CD4+ T
-44.132427,1.1351576,CITE-seq,Naive CD4+ T
-5.768841,-59.141956,CITE-seq,Naive CD8+ T
51.96375,-8.011352,CITE-seq,NK
-59.972767,-10.979059,CITE-seq,Naive CD4+ T
-4.195377,-66.165146,CITE-seq,Naive CD8+ T
-11.27019,39.558876,CITE-seq,Effector CD4+ T
6.9586725,0.46652204,CITE-seq,Monocytes
-33.60594,14.117536,CITE-seq,Naive CD4+ T
-11.868863,-52.778957,CITE-seq,Naive CD8+ T
52.935894,32.116703,CITE-seq,Effector CD8+ T
-5.779203,62.113117,CITE-seq,Effector CD4+ T
-23.733366,53.70869,CITE-seq,Effector CD4+ T
-33.404293,43.96721,CITE-seq,Effector CD4+ T
32.096558,-38.44763,CITE-seq,B
-50.642467,1.7344888,CITE-seq,Naive CD4+ T
-32.305782,46.34243,CITE-seq,Effector CD4+ T
-58.154354,15.84864,CITE-seq,Naive CD4+ T
-45.540348,7.392871,CITE-seq,Naive CD4+ T
0.39996552,41.330738,CITE-seq,Effector CD4+ T
-22.263948,-0.12756413,CITE-seq,Naive CD4+ T
25.505728,-36.742565,CITE-seq,B
-23.858196,-22.96063,CITE-seq,Naive CD4+ T
3.8402956,-56.18724,CITE-seq,Naive CD8+ T
-31.426851,2.8131344,CITE-seq,Naive CD4+ T
-34.71149,43.900093,CITE-seq,Effector CD4+ T
-30.271036,48.99355,CITE-seq,Effector CD4+ T
55.920223,-23.375954,CITE-seq,NK
-27.565485,45.129734,CITE-seq,Effector CD4+ T
53.558968,-21.8333,CITE-seq,NK
